Zeitstempel,Produkt_Code,SDO_ID,Windgeschwindigkeit,Qualitaet_Niveau,Qualitaet_Byte,Leistung
201901141800,F_MN003,1346,14.4,4,10,2147.4
201901141900,F_MN003,1346,14.3,4,10,2102.3
201901142000,F_MN003,1346,14.1,4,10,2132.3
201901142100,F_MN003,1346,14.3,4,10,2116.8
201901142200,F_MN003,1346,15.6,4,10,2006.0
201901142300,F_MN003,1346,12.4,4,10,2043.2
201901150000,F_MN003,1346,13.2,4,10,2018.2
201901150100,F_MN003,1346,13.6,4,10,2031.2
201901150200,F_MN003,1346,11.3,4,10,1992.5
201901150300,F_MN003,1346,7.6,4,10,1920.3
201901150400,F_MN003,1346,6.4,4,10,1830.9
201901150500,F_MN003,1346,7.2,4,10,1662.5
201901150600,F_MN003,1346,9.5,4,10,1544.4
201901150700,F_MN003,1346,11.2,4,10,1521.9
201901150800,F_MN003,1346,10.7,4,10,1459.7
201901150900,F_MN003,1346,10.8,4,10,1457.9
201901151000,F_MN003,1346,10.0,4,10,1481.8
201901151100,F_MN003,1346,8.7,4,10,1374.2
201901151200,F_MN003,1346,6.7,4,10,1312.9
201901151300,F_MN003,1346,4.5,4,10,1143.0
201901151400,F_MN003,1346,5.9,4,10,992.4
201901151500,F_MN003,1346,5.3,4,10,868.8
201901151600,F_MN003,1346,5.8,4,10,872.8
201901151700,F_MN003,1346,7.4,4,10,866.9
201901151800,F_MN003,1346,8.7,4,10,843.7
201901151900,F_MN003,1346,8.9,4,10,785.7
201901152000,F_MN003,1346,9.6,4,10,685.1
201901152100,F_MN003,1346,8.0,4,10,584.0
201901152200,F_MN003,1346,9.9,4,10,575.6
201901152300,F_MN003,1346,9.7,4,10,626.4
201901160000,F_MN003,1346,10.3,4,10,729.7
201901160100,F_MN003,1346,9.2,4,10,800.6
201901160200,F_MN003,1346,9.0,4,10,929.9
201901160300,F_MN003,1346,9.5,4,10,1050.5
201901160400,F_MN003,1346,8.6,4,10,1047.7
201901160500,F_MN003,1346,10.4,4,10,1172.5
201901160600,F_MN003,1346,11.6,4,10,1303.7
201901160700,F_MN003,1346,11.9,4,10,1417.3
201901160800,F_MN003,1346,14.2,4,10,1569.0
201901160900,F_MN003,1346,15.5,4,10,1674.2
201901161000,F_MN003,1346,16.5,4,10,1769.6
201901161100,F_MN003,1346,17.6,4,10,1784.9
201901161200,F_MN003,1346,16.7,4,10,1816.0
201901161300,F_MN003,1346,16.0,4,10,1904.7
201901161400,F_MN003,1346,14.7,4,10,1971.2
201901161500,F_MN003,1346,14.7,4,10,2046.5
201901161600,F_MN003,1346,15.5,4,10,2164.0
201901161700,F_MN003,1346,16.1,4,10,2148.1
201901161800,F_MN003,1346,15.0,4,10,2149.6
201901161900,F_MN003,1346,16.5,4,10,2166.0
201901162000,F_MN003,1346,17.1,4,10,2106.4
201901162100,F_MN003,1346,17.7,4,10,2153.4
201901162200,F_MN003,1346,19.7,4,10,2059.4
201901162300,F_MN003,1346,20.6,4,10,2058.2
201901170000,F_MN003,1346,21.6,4,10,2058.2
201901170100,F_MN003,1346,22.0,4,10,1999.6
201901170200,F_MN003,1346,22.7,4,10,1958.5
201901170300,F_MN003,1346,19.8,4,10,1897.2
201901170400,F_MN003,1346,18.6,4,10,1897.2
201901170500,F_MN003,1346,18.2,4,10,1962.6
201901170600,F_MN003,1346,17.1,4,10,1971.2
201901170700,F_MN003,1346,18.2,4,10,1962.0
201901170800,F_MN003,1346,20.0,4,10,2018.0
201901170900,F_MN003,1346,18.3,4,10,1950.6
201901171000,F_MN003,1346,17.4,4,10,2032.5
201901171100,F_MN003,1346,16.6,4,10,2043.3
201901171200,F_MN003,1346,16.5,4,10,2043.3
201901171300,F_MN003,1346,16.8,4,10,2112.4
201901171400,F_MN003,1346,16.6,4,10,2153.4
